,Player,Pos,Age,MP,Starts,Min,90s,SoTA,Saves,Save%,Save%,W,D,L,CS,CS%
0,Hugo Lloris,GK,35.0,6,6,570,6.3,24,17,83.3,0.0,5,1,0,1,16.7
1,Steve Mandanda,GK,37.0,1,1,90,1.0,3,2,66.7,,0,0,1,0,0.0
0,Emiliano Martínez,GK,29.0,7,7,690,7.7,13,6,53.8,0.0,4,2,1,3,42.9
0,Yassine Bounou,GK,31.0,6,6,570,6.3,11,7,54.5,,2,2,2,3,50.0
1,Munir,GK,33.0,1,1,90,1.0,3,3,100.0,,1,0,0,1,100.0
0,Dominik Livaković,GK,27.0,7,7,690,7.7,31,24,80.6,0.0,2,4,1,2,28.6
0,Andries Noppert,GK,28.0,5,5,480,5.3,22,18,86.4,0.0,3,2,0,2,40.0
0,Jordan Pickford,GK,28.0,5,5,450,5.0,11,7,72.7,0.0,3,1,1,3,60.0
0,Alisson,GK,29.0,4,4,379,4.2,7,5,71.4,,2,1,0,2,50.0
1,Ederson,GK,28.0,1,1,90,1.0,3,2,66.7,,0,0,1,0,0.0
2,Wéverton,GK,34.0,1,0,11,0.1,0,0,,,0,0,0,0,
0,Diogo Costa,GK,22.0,5,5,450,5.0,17,11,64.7,,3,0,2,1,20.0
0,Shūichi Gonda,GK,33.0,4,4,390,4.3,19,15,84.2,0.0,2,1,1,0,0.0
0,Mathew Ryan,GK,30.0,4,4,360,4.0,18,12,66.7,,2,0,2,2,50.0
0,Edouard Mendy,GK,30.0,4,4,360,4.0,14,7,50.0,,2,0,2,0,0.0
0,Yann Sommer,GK,33.0,3,3,270,3.0,19,12,63.2,,1,0,2,1,33.3
1,Gregor Kobel,GK,24.0,1,1,90,1.0,4,2,50.0,,1,0,0,0,0.0
0,Unai Simón,GK,25.0,4,4,390,4.3,9,6,66.7,,1,2,1,2,50.0
0,Matt Turner,GK,27.0,4,4,360,4.0,12,8,75.0,0.0,1,2,1,2,50.0
0,Wojciech Szczęsny,GK,32.0,4,4,360,4.0,28,21,82.1,100.0,1,1,2,2,50.0
0,Kim Seung-gyu,GK,31.0,4,4,360,4.0,19,11,63.2,0.0,1,1,2,1,25.0
0,Hernán Galíndez,GK,35.0,3,3,270,3.0,4,1,50.0,0.0,1,1,1,1,33.3
0,Manuel Neuer,GK,36.0,3,3,270,3.0,13,8,61.5,,1,1,1,0,0.0
0,Aimen Dahmen,GK,25.0,3,3,270,3.0,10,9,90.0,,1,1,1,2,66.7
0,Devis Epassy,GK,29.0,2,2,180,2.0,12,9,75.0,,1,1,0,1,50.0
1,André Onana,GK,26.0,1,1,80,0.9,3,2,66.7,,0,0,1,0,0.0
0,Sergio Rochet,GK,29.0,3,3,270,3.0,7,4,85.7,50.0,1,1,1,2,66.7
0,Guillermo Ochoa,GK,36.0,3,3,270,3.0,6,2,50.0,100.0,1,1,1,1,33.3
0,Thibaut Courtois,GK,30.0,3,3,270,3.0,11,8,81.8,100.0,1,1,1,2,66.7
0,Lawrence Ati-Zigi,GK,25.0,3,3,270,3.0,17,10,64.7,0.0,1,0,2,0,0.0
0,Mohammed Al-Owais,GK,30.0,3,3,270,3.0,19,14,78.9,0.0,1,0,2,0,0.0
0,Alireza Beiranvand,GK,29.0,2,2,109,1.2,5,4,80.0,,0,0,1,0,0.0
1,Hossein Hosseini,GK,29.0,2,1,161,1.8,10,4,40.0,,1,0,0,1,100.0
0,Keylor Navas,GK,35.0,3,3,270,3.0,22,11,54.5,0.0,1,0,2,1,33.3
0,Kasper Schmeichel,GK,35.0,3,3,270,3.0,11,8,72.7,,0,1,2,1,33.3
0,Vanja Milinković-Savić,GK,25.0,3,3,270,3.0,24,16,66.7,,0,1,2,0,0.0
0,Wayne Hennessey,GK,35.0,2,2,175,1.9,5,4,80.0,,0,1,0,0,0.0
1,Danny Ward,GK,28.0,2,1,94,1.0,9,4,44.4,,0,0,1,0,0.0
0,Milan Borjan,GK,34.0,3,3,270,3.0,15,8,53.3,,0,0,3,0,0.0
0,Meshaal Barsham,GK,24.0,2,2,180,2.0,9,4,44.4,,0,0,2,0,0.0
1,Saad Al Sheeb,GK,32.0,1,1,90,1.0,3,1,66.7,0.0,0,0,1,0,0.0
